derived_id,company,symbol,operation,input_fact_ids,unit,rounding_rule,expected_result,formula,source_episode_id
NVDA-Q1-DC-SHARE,NVIDIA Corporation,NVDA,ratio_percent,"[""NVDA-Q1-DC"", ""NVDA-Q1-REV""]",percent,0.1,86.8,100 * NVDA-Q1-DC / NVDA-Q1-REV,FSEC-NVDA-01
FSEC-NVDA-02|comparisons|1,NVIDIA Corporation,NVDA,percent_change,"[""NVDA-Q1-REV"", ""NVDA-Q2-REV""]",percent,0.1,15.3,100 * (NVDA-Q2-REV - NVDA-Q1-REV) / NVDA-Q1-REV,FSEC-NVDA-02
FSEC-NVDA-02|comparisons|2,NVIDIA Corporation,NVDA,difference,"[""NVDA-Q1-GM"", ""NVDA-Q2-GM""]",percentage_point,0.1,-3.3,NVDA-Q2-GM - NVDA-Q1-GM,FSEC-NVDA-02
FSEC-NVDA-03|comparisons|1,NVIDIA Corporation,NVDA,percent_change,"[""NVDA-Q2-REV"", ""NVDA-Q4-REV""]",percent,0.1,30.9,100 * (NVDA-Q4-REV - NVDA-Q2-REV) / NVDA-Q2-REV,FSEC-NVDA-03
FSEC-NVDA-03|comparisons|2,NVIDIA Corporation,NVDA,difference,"[""NVDA-Q2-GM"", ""NVDA-Q4-GM""]",percentage_point,0.1,-2.1,NVDA-Q4-GM - NVDA-Q2-GM,FSEC-NVDA-03
AMD-Q2-DC-SHARE,"Advanced Micro Devices, Inc.",AMD,ratio_percent,"[""AMD-Q2-DC"", ""AMD-Q2-REV""]",percent,0.1,48.6,100 * AMD-Q2-DC / AMD-Q2-REV,FSEC-AMD-01
FSEC-AMD-02|comparisons|1,"Advanced Micro Devices, Inc.",AMD,percent_change,"[""AMD-Q2-REV"", ""AMD-Q3-REV""]",percent,0.1,16.9,100 * (AMD-Q3-REV - AMD-Q2-REV) / AMD-Q2-REV,FSEC-AMD-02
FSEC-AMD-02|comparisons|2,"Advanced Micro Devices, Inc.",AMD,difference,"[""AMD-Q2-GM"", ""AMD-Q3-GM""]",percentage_point,0.1,1.0,AMD-Q3-GM - AMD-Q2-GM,FSEC-AMD-02
FSEC-AMD-03|comparisons|1,"Advanced Micro Devices, Inc.",AMD,percent_change,"[""AMD-Q3-REV"", ""AMD-Q4-REV""]",percent,0.1,12.3,100 * (AMD-Q4-REV - AMD-Q3-REV) / AMD-Q3-REV,FSEC-AMD-03
FSEC-AMD-03|comparisons|2,"Advanced Micro Devices, Inc.",AMD,difference,"[""AMD-Q3-GM"", ""AMD-Q4-GM""]",percentage_point,0.1,1.0,AMD-Q4-GM - AMD-Q3-GM,FSEC-AMD-03
INTC-2023-EXT-SHARE,Intel Corporation,INTC,ratio_percent,"[""INTC-2023-EXT-FOUNDRY"", ""INTC-2023-FOUNDRY-REV""]",percent,0.1,5.0,100 * INTC-2023-EXT-FOUNDRY / INTC-2023-FOUNDRY-REV,FSEC-INTC-01
FSEC-INTC-03|comparisons|1,Intel Corporation,INTC,percent_change,"[""INTC-Q2-REV"", ""INTC-Q3-REV""]",percent,0.1,3.9,100 * (INTC-Q3-REV - INTC-Q2-REV) / INTC-Q2-REV,FSEC-INTC-03
FSEC-INTC-03|comparisons|2,Intel Corporation,INTC,difference,"[""INTC-Q2-GM"", ""INTC-Q3-GM""]",percentage_point,0.1,-20.4,INTC-Q3-GM - INTC-Q2-GM,FSEC-INTC-03
FSEC-NKE-02|comparisons|1,"NIKE, Inc.",NKE,percent_change,"[""NKE-Q4FY24-REV"", ""NKE-Q2FY25-REV""]",percent,0.1,-2.0,100 * (NKE-Q2FY25-REV - NKE-Q4FY24-REV) / NKE-Q4FY24-REV,FSEC-NKE-02
FSEC-NKE-02|comparisons|2,"NIKE, Inc.",NKE,difference,"[""NKE-Q4FY24-GM"", ""NKE-Q2FY25-GM""]",percentage_point,0.1,-1.1,NKE-Q2FY25-GM - NKE-Q4FY24-GM,FSEC-NKE-02
FSEC-NKE-03|comparisons|1,"NIKE, Inc.",NKE,percent_change,"[""NKE-Q2FY25-REV"", ""NKE-Q4FY25-REV""]",percent,0.1,-10.2,100 * (NKE-Q4FY25-REV - NKE-Q2FY25-REV) / NKE-Q2FY25-REV,FSEC-NKE-03
FSEC-NKE-03|comparisons|2,"NIKE, Inc.",NKE,difference,"[""NKE-Q2FY25-GM"", ""NKE-Q4FY25-GM""]",percentage_point,0.1,-3.3,NKE-Q4FY25-GM - NKE-Q2FY25-GM,FSEC-NKE-03
