fact_id,company,symbol,concept,value,unit,basis,scope,reporting_period,filing_date,accepted_at,accession,form,document_type,url,locator,source_sha256,derivation,missing_reason
NVDA-Q1-REV,NVIDIA Corporation,NVDA,quarterly_revenue,26044,USD_million,GAAP,,Q1 FY2025 ended 2024-04-28,2024-05-22,2024-05-22T20:21:29.000Z,0001045810-24-000113,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000113/q1fy25pr.htm,Q1 Fiscal 2025 Summary,1e1f8a53abed8898fd6c5519f25189bf4d78521e8da80fdcf5248d194c54a02c,source_fact,scope not explicitly stated in the human oracle
NVDA-Q1-GM,NVIDIA Corporation,NVDA,gross_margin,78.4,percent,GAAP,,Q1 FY2025 ended 2024-04-28,2024-05-22,2024-05-22T20:21:29.000Z,0001045810-24-000113,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000113/q1fy25pr.htm,Q1 Fiscal 2025 Summary,1e1f8a53abed8898fd6c5519f25189bf4d78521e8da80fdcf5248d194c54a02c,source_fact,scope not explicitly stated in the human oracle
NVDA-Q1-DC,NVIDIA Corporation,NVDA,data_center_revenue,22600,USD_million,reported_segment,,Q1 FY2025 ended 2024-04-28,2024-05-22,2024-05-22T20:21:29.000Z,0001045810-24-000113,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000113/q1fy25pr.htm,Data Center highlights,1e1f8a53abed8898fd6c5519f25189bf4d78521e8da80fdcf5248d194c54a02c,source_fact,scope not explicitly stated in the human oracle
NVDA-Q2-REV,NVIDIA Corporation,NVDA,quarterly_revenue,30040,USD_million,GAAP,,Q2 FY2025 ended 2024-07-28,2024-08-28,2024-08-28T20:21:16.000Z,0001045810-24-000262,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000262/q2fy25pr.htm,Q2 Fiscal 2025 Summary,0ab67703a5fb0def7eeb220475bc55e8bb8ab595c5a74103437acda3b1f57dbc,source_fact,scope not explicitly stated in the human oracle
NVDA-Q2-GM,NVIDIA Corporation,NVDA,gross_margin,75.1,percent,GAAP,,Q2 FY2025 ended 2024-07-28,2024-08-28,2024-08-28T20:21:16.000Z,0001045810-24-000262,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000262/q2fy25pr.htm,Q2 Fiscal 2025 Summary,0ab67703a5fb0def7eeb220475bc55e8bb8ab595c5a74103437acda3b1f57dbc,source_fact,scope not explicitly stated in the human oracle
NVDA-Q2-DC,NVIDIA Corporation,NVDA,data_center_revenue,26300,USD_million,reported_segment,,Q2 FY2025 ended 2024-07-28,2024-08-28,2024-08-28T20:21:16.000Z,0001045810-24-000262,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000262/q2fy25pr.htm,Data Center highlights,0ab67703a5fb0def7eeb220475bc55e8bb8ab595c5a74103437acda3b1f57dbc,source_fact,scope not explicitly stated in the human oracle
NVDA-Q4-REV,NVIDIA Corporation,NVDA,quarterly_revenue,39331,USD_million,GAAP,,Q4 FY2025 ended 2025-01-26,2025-02-26,2025-02-26T21:21:32.000Z,0001045810-25-000021,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000021/q4fy25pr.htm,Q4 Fiscal 2025 Summary,0e5e0744ff416c75cf291b852fa0655a2f154c381dcb1d4186e7160449e38d59,source_fact,scope not explicitly stated in the human oracle
NVDA-Q4-GM,NVIDIA Corporation,NVDA,gross_margin,73.0,percent,GAAP,,Q4 FY2025 ended 2025-01-26,2025-02-26,2025-02-26T21:21:32.000Z,0001045810-25-000021,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000021/q4fy25pr.htm,Q4 Fiscal 2025 Summary,0e5e0744ff416c75cf291b852fa0655a2f154c381dcb1d4186e7160449e38d59,source_fact,scope not explicitly stated in the human oracle
NVDA-Q4-DC,NVIDIA Corporation,NVDA,data_center_revenue,35600,USD_million,reported_segment,,Q4 FY2025 ended 2025-01-26,2025-02-26,2025-02-26T21:21:32.000Z,0001045810-25-000021,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000021/q4fy25pr.htm,Data Center highlights,0e5e0744ff416c75cf291b852fa0655a2f154c381dcb1d4186e7160449e38d59,source_fact,scope not explicitly stated in the human oracle
AMD-Q2-REV,"Advanced Micro Devices, Inc.",AMD,quarterly_revenue,5835,USD_million,GAAP,,Q2 2024,2024-07-30,2024-07-30T20:17:15.000Z,0000002488-24-000121,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/2488/000000248824000121/q22024991.htm,GAAP Quarterly Financial Results,c3d6af1851ae405ac81e07a630e98dc8d61354f2ba02ccc4a8eeb212d48ff5ce,source_fact,scope not explicitly stated in the human oracle
