audit_id,audit_type,item_id,source_id,locator,filing_date,accepted_at,accession,url,source_sha256,review_task
SOURCE|NVDA-Q1-REV,source,NVDA-Q1-REV,nvda-2024-05-22-q1-fy2025,Q1 Fiscal 2025 Summary,2024-05-22,2024-05-22T20:21:29.000Z,0001045810-24-000113,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000113/q1fy25pr.htm,1e1f8a53abed8898fd6c5519f25189bf4d78521e8da80fdcf5248d194c54a02c,Verify value=26044 unit=USD_million basis=GAAP period=Q1 FY2025 ended 2024-04-28 and the claimed excerpt in the locked primary source.
SOURCE|NVDA-Q1-GM,source,NVDA-Q1-GM,nvda-2024-05-22-q1-fy2025,Q1 Fiscal 2025 Summary,2024-05-22,2024-05-22T20:21:29.000Z,0001045810-24-000113,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000113/q1fy25pr.htm,1e1f8a53abed8898fd6c5519f25189bf4d78521e8da80fdcf5248d194c54a02c,Verify value=78.4 unit=percent basis=GAAP period=Q1 FY2025 ended 2024-04-28 and the claimed excerpt in the locked primary source.
SOURCE|NVDA-Q1-DC,source,NVDA-Q1-DC,nvda-2024-05-22-q1-fy2025,Data Center highlights,2024-05-22,2024-05-22T20:21:29.000Z,0001045810-24-000113,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000113/q1fy25pr.htm,1e1f8a53abed8898fd6c5519f25189bf4d78521e8da80fdcf5248d194c54a02c,Verify value=22600 unit=USD_million basis=reported_segment period=Q1 FY2025 ended 2024-04-28 and the claimed excerpt in the locked primary source.
ORACLE|NVDA-Q1-DC-SHARE,oracle_calculation,NVDA-Q1-DC-SHARE,nvda-2024-05-22-q1-fy2025,,,,,,,"Independently recompute from the referenced facts: {""denominator_fact"": ""NVDA-Q1-REV"", ""id"": ""NVDA-Q1-DC-SHARE"", ""numerator_fact"": ""NVDA-Q1-DC"", ""operation"": ""ratio_percent"", ""rounding"": ""0.1"", ""unit"": ""percent""}"
SOURCE|NVDA-Q2-REV,source,NVDA-Q2-REV,nvda-2024-08-28-q2-fy2025,Q2 Fiscal 2025 Summary,2024-08-28,2024-08-28T20:21:16.000Z,0001045810-24-000262,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000262/q2fy25pr.htm,0ab67703a5fb0def7eeb220475bc55e8bb8ab595c5a74103437acda3b1f57dbc,Verify value=30040 unit=USD_million basis=GAAP period=Q2 FY2025 ended 2024-07-28 and the claimed excerpt in the locked primary source.
SOURCE|NVDA-Q2-GM,source,NVDA-Q2-GM,nvda-2024-08-28-q2-fy2025,Q2 Fiscal 2025 Summary,2024-08-28,2024-08-28T20:21:16.000Z,0001045810-24-000262,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000262/q2fy25pr.htm,0ab67703a5fb0def7eeb220475bc55e8bb8ab595c5a74103437acda3b1f57dbc,Verify value=75.1 unit=percent basis=GAAP period=Q2 FY2025 ended 2024-07-28 and the claimed excerpt in the locked primary source.
SOURCE|NVDA-Q2-DC,source,NVDA-Q2-DC,nvda-2024-08-28-q2-fy2025,Data Center highlights,2024-08-28,2024-08-28T20:21:16.000Z,0001045810-24-000262,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000262/q2fy25pr.htm,0ab67703a5fb0def7eeb220475bc55e8bb8ab595c5a74103437acda3b1f57dbc,Verify value=26300 unit=USD_million basis=reported_segment period=Q2 FY2025 ended 2024-07-28 and the claimed excerpt in the locked primary source.
ORACLE|FSEC-NVDA-02|comparisons|1,oracle_calculation,FSEC-NVDA-02|comparisons|1,nvda-2024-08-28-q2-fy2025,,,,,,,"Independently recompute from the referenced facts: {""from_fact"": ""NVDA-Q1-REV"", ""operation"": ""percent_change"", ""rounding"": ""0.1"", ""to_fact"": ""NVDA-Q2-REV"", ""unit"": ""percent""}"
ORACLE|FSEC-NVDA-02|comparisons|2,oracle_calculation,FSEC-NVDA-02|comparisons|2,nvda-2024-08-28-q2-fy2025,,,,,,,"Independently recompute from the referenced facts: {""from_fact"": ""NVDA-Q1-GM"", ""operation"": ""difference"", ""rounding"": ""0.1"", ""to_fact"": ""NVDA-Q2-GM"", ""unit"": ""percentage_point""}"
SOURCE|NVDA-Q4-REV,source,NVDA-Q4-REV,nvda-2025-02-26-q4-fy2025,Q4 Fiscal 2025 Summary,2025-02-26,2025-02-26T21:21:32.000Z,0001045810-25-000021,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000021/q4fy25pr.htm,0e5e0744ff416c75cf291b852fa0655a2f154c381dcb1d4186e7160449e38d59,Verify value=39331 unit=USD_million basis=GAAP period=Q4 FY2025 ended 2025-01-26 and the claimed excerpt in the locked primary source.
SOURCE|NVDA-Q4-GM,source,NVDA-Q4-GM,nvda-2025-02-26-q4-fy2025,Q4 Fiscal 2025 Summary,2025-02-26,2025-02-26T21:21:32.000Z,0001045810-25-000021,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000021/q4fy25pr.htm,0e5e0744ff416c75cf291b852fa0655a2f154c381dcb1d4186e7160449e38d59,Verify value=73.0 unit=percent basis=GAAP period=Q4 FY2025 ended 2025-01-26 and the claimed excerpt in the locked primary source.
SOURCE|NVDA-Q4-DC,source,NVDA-Q4-DC,nvda-2025-02-26-q4-fy2025,Data Center highlights,2025-02-26,2025-02-26T21:21:32.000Z,0001045810-25-000021,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000021/q4fy25pr.htm,0e5e0744ff416c75cf291b852fa0655a2f154c381dcb1d4186e7160449e38d59,Verify value=35600 unit=USD_million basis=reported_segment period=Q4 FY2025 ended 2025-01-26 and the claimed excerpt in the locked primary source.
ORACLE|FSEC-NVDA-03|comparisons|1,oracle_calculation,FSEC-NVDA-03|comparisons|1,nvda-2025-02-26-q4-fy2025,,,,,,,"Independently recompute from the referenced facts: {""from_fact"": ""NVDA-Q2-REV"", ""operation"": ""percent_change"", ""rounding"": ""0.1"", ""to_fact"": ""NVDA-Q4-REV"", ""unit"": ""percent""}"
ORACLE|FSEC-NVDA-03|comparisons|2,oracle_calculation,FSEC-NVDA-03|comparisons|2,nvda-2025-02-26-q4-fy2025,,,,,,,"Independently recompute from the referenced facts: {""from_fact"": ""NVDA-Q2-GM"", ""operation"": ""difference"", ""rounding"": ""0.1"", ""to_fact"": ""NVDA-Q4-GM"", ""unit"": ""percentage_point""}"
SOURCE|AMD-Q2-REV,source,AMD-Q2-REV,amd-2024-07-30-q2,GAAP Quarterly Financial Results,2024-07-30,2024-07-30T20:17:15.000Z,0000002488-24-000121,https://www.sec.gov/Archives/edgar/data/2488/000000248824000121/q22024991.htm,c3d6af1851ae405ac81e07a630e98dc8d61354f2ba02ccc4a8eeb212d48ff5ce,Verify value=5835 unit=USD_million basis=GAAP period=Q2 2024 and the claimed excerpt in the locked primary source.
SOURCE|AMD-Q2-GM,source,AMD-Q2-GM,amd-2024-07-30-q2,GAAP Quarterly Financial Results,2024-07-30,2024-07-30T20:17:15.000Z,0000002488-24-000121,https://www.sec.gov/Archives/edgar/data/2488/000000248824000121/q22024991.htm,c3d6af1851ae405ac81e07a630e98dc8d61354f2ba02ccc4a8eeb212d48ff5ce,Verify value=49 unit=percent basis=GAAP period=Q2 2024 and the claimed excerpt in the locked primary source.
SOURCE|AMD-Q2-DC,source,AMD-Q2-DC,amd-2024-07-30-q2,Segment and Category Information,2024-07-30,2024-07-30T20:17:15.000Z,0000002488-24-000121,https://www.sec.gov/Archives/edgar/data/2488/000000248824000121/q22024991.htm,c3d6af1851ae405ac81e07a630e98dc8d61354f2ba02ccc4a8eeb212d48ff5ce,Verify value=2834 unit=USD_million basis=reported_segment period=Q2 2024 and the claimed excerpt in the locked primary source.
SOURCE|AMD-Q2-DC-YOY,source,AMD-Q2-DC-YOY,amd-2024-07-30-q2,Segment Summary,2024-07-30,2024-07-30T20:17:15.000Z,0000002488-24-000121,https://www.sec.gov/Archives/edgar/data/2488/000000248824000121/q22024991.htm,c3d6af1851ae405ac81e07a630e98dc8d61354f2ba02ccc4a8eeb212d48ff5ce,Verify value=115 unit=percent basis=reported_segment period=Q2 2024 and the claimed excerpt in the locked primary source.
SOURCE|AMD-Q2-GAME,source,AMD-Q2-GAME,amd-2024-07-30-q2,Segment Summary,2024-07-30,2024-07-30T20:17:15.000Z,0000002488-24-000121,https://www.sec.gov/Archives/edgar/data/2488/000000248824000121/q22024991.htm,c3d6af1851ae405ac81e07a630e98dc8d61354f2ba02ccc4a8eeb212d48ff5ce,Verify value=648 unit=USD_million basis=reported_segment period=Q2 2024 and the claimed excerpt in the locked primary source.
SOURCE|AMD-Q2-GAME-YOY,source,AMD-Q2-GAME-YOY,amd-2024-07-30-q2,Segment Summary,2024-07-30,2024-07-30T20:17:15.000Z,0000002488-24-000121,https://www.sec.gov/Archives/edgar/data/2488/000000248824000121/q22024991.htm,c3d6af1851ae405ac81e07a630e98dc8d61354f2ba02ccc4a8eeb212d48ff5ce,Verify value=-59 unit=percent basis=reported_segment period=Q2 2024 and the claimed excerpt in the locked primary source.
ORACLE|AMD-Q2-DC-SHARE,oracle_calculation,AMD-Q2-DC-SHARE,amd-2024-07-30-q2,,,,,,,"Independently recompute from the referenced facts: {""denominator_fact"": ""AMD-Q2-REV"", ""id"": ""AMD-Q2-DC-SHARE"", ""numerator_fact"": ""AMD-Q2-DC"", ""operation"": ""ratio_percent"", ""rounding"": ""0.1"", ""unit"": ""percent""}"
SOURCE|AMD-Q3-REV,source,AMD-Q3-REV,amd-2024-10-29-q3,GAAP Quarterly Financial Results,2024-10-29,2024-10-29T20:16:49.000Z,0000002488-24-000161,https://www.sec.gov/Archives/edgar/data/2488/000000248824000161/q32024991.htm,288e1c639d72dbc0fa2e0fe1704990cf923defb0e49f8a3c39e9dc4883f7285f,Verify value=6819 unit=USD_million basis=GAAP period=Q3 2024 and the claimed excerpt in the locked primary source.
SOURCE|AMD-Q3-GM,source,AMD-Q3-GM,amd-2024-10-29-q3,GAAP Quarterly Financial Results,2024-10-29,2024-10-29T20:16:49.000Z,0000002488-24-000161,https://www.sec.gov/Archives/edgar/data/2488/000000248824000161/q32024991.htm,288e1c639d72dbc0fa2e0fe1704990cf923defb0e49f8a3c39e9dc4883f7285f,Verify value=50 unit=percent basis=GAAP period=Q3 2024 and the claimed excerpt in the locked primary source.
SOURCE|AMD-Q3-GAME,source,AMD-Q3-GAME,amd-2024-10-29-q3,Segment Summary,2024-10-29,2024-10-29T20:16:49.000Z,0000002488-24-000161,https://www.sec.gov/Archives/edgar/data/2488/000000248824000161/q32024991.htm,288e1c639d72dbc0fa2e0fe1704990cf923defb0e49f8a3c39e9dc4883f7285f,Verify value=462 unit=USD_million basis=reported_segment period=Q3 2024 and the claimed excerpt in the locked primary source.
